OrderID,OrderDate,OrderHour,City,Cuisine,OrderValueSEK,DeliveryTimeMin,DeliveryStatus,CustomerType
108911,2026-06-23,20,Göteborg,Thai,248 kr,23,On time,Returning 
105327,2026-05-05,21,Malmö,Indian,168 kr,35,On time,Returning
112843,15 Aug 2026,11,Stockholm,Sushi,217.0,25,On time,Returning
104912,2026-04-30,16,Malmö,Thai ,"286,0",38,On time,Returning
110109,2026-07-10,20,Göteborg,Pizza,111.0,47,Late,New
104788,2026-04-28,17,Uppsala,Sushi,317.0,26,On time,New
108765,2026-06-21,17,göteborg,Kebab ,204.0,28,On time,returning
108343,15 Jun 2026,20,Stockholm,Pizza,256.0,36,On time,New
109945,2026-07-07,17,Uppsala,Kebab,333.0,33,On time,Returning
111435,2026-07-27,20,Göteborg,Burgers,292.0,29,On time,NEW
112873,2026-08-15,13,Stockholm,Sushi,317.0,31,On time,Returning
105885,2026-05-13,19,Stockholm,Burgers,243 SEK,39,On time,New
106871,2026-05-26,12,STOCKHOLM,sushi,111.0,42,On time,New
111060,2026-07-22,17,Stockholm,Burgers,243.0,19,on time ,NEW
104596,26 Apr 2026,12,Göteborg,Salad,SEK 309,44,On time,returning
112732,13 Aug 2026,20,malmö,Pizza,240,45,On time,Returning
103203,2026-04-07,19,Stockholm,Thai,287.0,35,On time,Returning
108441,2026-06-16,12,Stockholm,Kebab,389 SEK,35,on time,Returning
109025,2026-06-25,21,Göteborg,Salad,247.0,42,on time,New
105355,06.05.2026,16,GÖTEBORG,Burgers,295.0,28,On time,New
105999,2026-05-15,20,GÖTEBORG,Burgers,268.0,51,Late,New
110123,2026-07-10,21,Sthlm,Pizza,204.0,30,On time,Returning
109056,2026-06-25,20,Stockholm, Vegan,"420,0",37,On time,Returning
110917,2026-07-20,10,Stockholm,Sushi,199.0,35,On time,Returning
109263,28.06.2026,17,Göteborg,Pizza,398,34,On time,New
111529,2026-07-28,10,Stockholm,Burgers,"257,0",51,Late,Returning
106552,2026-05-22,18,Stockholm,Burgers,SEK 187,32,On time,Returning 
110389,2026-07-13,11,Malmö,Thai,191.0,36,On time,New
113172,19 Aug 2026,20,STOCKHOLM,Burgers,247.0,45,On Time,Returning
112495,10/08/2026,11,Göteborg,Thai,219 SEK,23,On time,Returning
104693,2026-04-27,11,Stockholm,Salad,184,29,On time,Returning
105529,2026-05-08,11,Malmö, Kebab,209.0,34,On time,New
110628,2026-07-16,11,Uppsala,Kebab,229.0,23,On time,NEW
