OrderID,OrderDate,OrderHour,City,Cuisine,OrderValueSEK,DeliveryTimeMin,DeliveryStatus,CustomerType
108911,2026-06-23,20,Göteborg,Thai,248.0,23.0,On time,Returning
105327,2026-05-05,21,Malmö,Indian,168.0,35.0,On time,Returning
112843,2026-08-15,11,Stockholm,Sushi,217.0,25.0,On time,Returning
104912,2026-04-30,16,Malmö,Thai,286.0,38.0,On time,Returning
110109,2026-07-10,20,Göteborg,Pizza,111.0,47.0,Late,New
104788,2026-04-28,17,Uppsala,Sushi,317.0,26.0,On time,New
108765,2026-06-21,17,Göteborg,Kebab,204.0,28.0,On time,Returning
108343,2026-06-15,20,Stockholm,Pizza,256.0,36.0,On time,New
109945,2026-07-07,17,Uppsala,Kebab,333.0,33.0,On time,Returning
111435,2026-07-27,20,Göteborg,Burgers,292.0,29.0,On time,New
112873,2026-08-15,13,Stockholm,Sushi,317.0,31.0,On time,Returning
105885,2026-05-13,19,Stockholm,Burgers,243.0,39.0,On time,New
106871,2026-05-26,12,Stockholm,Sushi,111.0,42.0,On time,New
111060,2026-07-22,17,Stockholm,Burgers,243.0,19.0,On time,New
104596,2026-04-26,12,Göteborg,Salad,309.0,44.0,On time,Returning
112732,2026-08-13,20,Malmö,Pizza,240.0,45.0,On time,Returning
103203,2026-04-07,19,Stockholm,Thai,287.0,35.0,On time,Returning
108441,2026-06-16,12,Stockholm,Kebab,389.0,35.0,On time,Returning
109025,2026-06-25,21,Göteborg,Salad,247.0,42.0,On time,New
105355,2026-05-06,16,Göteborg,Burgers,295.0,28.0,On time,New
105999,2026-05-15,20,Göteborg,Burgers,268.0,51.0,Late,New
110123,2026-07-10,21,Stockholm,Pizza,204.0,30.0,On time,Returning
109056,2026-06-25,20,Stockholm,Vegan,420.0,37.0,On time,Returning
110917,2026-07-20,10,Stockholm,Sushi,199.0,35.0,On time,Returning
109263,2026-06-28,17,Göteborg,Pizza,398.0,34.0,On time,New
111529,2026-07-28,10,Stockholm,Burgers,257.0,51.0,Late,Returning
106552,2026-05-22,18,Stockholm,Burgers,187.0,32.0,On time,Returning
110389,2026-07-13,11,Malmö,Thai,191.0,36.0,On time,New
113172,2026-08-19,20,Stockholm,Burgers,247.0,45.0,On time,Returning
112495,2026-08-10,11,Göteborg,Thai,219.0,23.0,On time,Returning
104693,2026-04-27,11,Stockholm,Salad,184.0,29.0,On time,Returning
105529,2026-05-08,11,Malmö,Kebab,209.0,34.0,On time,New
110628,2026-07-16,11,Uppsala,Kebab,229.0,23.0,On time,New
100166,2026-02-25,19,Stockholm,Salad,257.0,31.0,On time,Returning
100814,2026-03-06,19,Göteborg,Burgers,235.0,45.0,On time,Returning
111931,2026-08-02,12,Uppsala,Pizza,181.0,29.0,On time,Returning
108220,2026-06-13,23,Uppsala,Indian,140.0,54.0,Late,New
104858,2026-04-29,19,Lund,Pizza,280.0,32.0,On time,New
107715,2026-06-07,18,Göteborg,Pizza,236.0,58.0,Late,Returning
105905,2026-05-13,11,Uppsala,Thai,300.0,43.0,On time,Returning
102722,2026-04-01,17,Göteborg,Pizza,275.0,51.0,Late,Returning
108473,2026-06-16,11,Lund,Thai,238.0,15.0,On time,Returning
108672,2026-06-19,16,Malmö,Indian,294.0,33.0,On time,New
